DTYPE	DCSTAT	DCBY	MYEAR	STATN	REP_STATN_NAME	PROJ	ORDERER	SHIPC	VISITID	CRUISE_NO	SHARKID_MD5	SDATE	STIME	EDATE	ETIME	LATIT_DM	LONGI_DM	LATIT_DD	LONGI_DD	POSYS	WADEP	WINDIR	WINSP	AIRTEMP	AIRPRES	WEATH	CLOUD	WAVES	ICEOB	SECCHI	QSEC	COMNT_VISIT	SMPNO	MNDEP	MXDEP	SLABO	ACKR_SMP	SMTYP	SMVOL	COMNT_SAMP	PARAM	VALUE	MUNIT	QFLAG	CALC_BY_DATA_CENTRE	METOA	METDC	REFSK	COMNT_VAR	UNCERT	METCU	LMQNT	DETLI	RANA	ALABO	ACKR_ANA	ANADATE	WATER_CATEGORY	WATER_DISTRICT	SEA_AREA_NAME	SEA_AREA_CODE	WATER_TYPE_AREA	SEA_BASIN	HELCOM-OSPAR_AREA	EEZ	COUNTY_NAME	MUNICIPALITY_NAME	VISS_EU_ID	WLTYP	MSTAT	PURPM	MPROG	RLABO	DATA_CENTRE	INTERNET_ACCESS	DATA_SET_NAME	FILE_NAME
Chlorophyll	Klar	Leverantör	2015	F9 / A13	A13	-	Havs- och vattenmyndigheten			2	c82a2d72fd63d5c6da536322c9f5eef7	2015-02-12	07:00			64 42.51	22 04.05	64.70850	22.06750	GPS	121												1	0	10	Umeå Universitet		HOS	0.2		Chlorophyll-a	0.35	ug/l			FLM		HC-C-C2	Detektionsgräns 0.05mg/m3						Umeå Universitet			Utsjövatten	Övriga områden utanför Sverige	Del av Bottenvikens utsjövatten			01 - Bottenviken	HELCOM				SE719293-179824				NATL	Umeå Universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2015_UMSC	SHARK_Chlorophyll_2015_UMSC_version_2019-02-14.zip
Chlorophyll	Klar	Leverantör	2015	F9 / A13	A13	-	Havs- och vattenmyndigheten			2	af351a9f4432a093a90be5660068829e	2015-02-12	07:00			64 42.51	22 04.05	64.70850	22.06750	GPS	121												2	0	10	Umeå Universitet		HOS	0.2		Chlorophyll-a	0.34	ug/l			FLM		HC-C-C2	Detektionsgräns 0.05mg/m3						Umeå Universitet			Utsjövatten	Övriga områden utanför Sverige	Del av Bottenvikens utsjövatten			01 - Bottenviken	HELCOM				SE719293-179824				NATL	Umeå Universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2015_UMSC	SHARK_Chlorophyll_2015_UMSC_version_2019-02-14.zip
Chlorophyll	Klar	Leverantör	2015	C3	C3	-	Havs- och vattenmyndigheten			2	444369399259b41532279f73f64d9063	2015-02-10	13:00			62 39.22	18 57.28	62.65367	18.95467	GPS	196												1	0	10	Umeå Universitet		HOS	0.2		Chlorophyll-a	0.7	ug/l			FLM		HC-C-C2	Detektionsgräns 0.05mg/m3						Umeå Universitet			Utsjövatten	Övriga områden utanför Sverige	Del av Bottenhavets utsjövatten			03 - Bottenhavet	HELCOM				SE695299-166132				NATL	Umeå Universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2015_UMSC	SHARK_Chlorophyll_2015_UMSC_version_2019-02-14.zip
Chlorophyll	Klar	Leverantör	2015	C3	C3	-	Havs- och vattenmyndigheten			2	51b3760e22ced2bec8d9720882265fc4	2015-02-10	13:00			62 39.22	18 57.28	62.65367	18.95467	GPS	196												2	0	10	Umeå Universitet		HOS	0.2		Chlorophyll-a	0.74	ug/l			FLM		HC-C-C2	Detektionsgräns 0.05mg/m3						Umeå Universitet			Utsjövatten	Övriga områden utanför Sverige	Del av Bottenhavets utsjövatten			03 - Bottenhavet	HELCOM				SE695299-166132				NATL	Umeå Universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2015_UMSC	SHARK_Chlorophyll_2015_UMSC_version_2019-02-14.zip
Chlorophyll	Klar	Leverantör	2015	F9 / A13	A13	-	Havs- och vattenmyndigheten			1	4b5d72565116be3e261bfdf55c8133b1	2015-01-15	08:05			64 42.50	22 04.00	64.70833	22.06667	GPS	125												1	0	10	Umeå Universitet		HOS	0.2		Chlorophyll-a	0.41	ug/l			FLM		HC-C-C2	Detektionsgräns 0.05mg/m3						Umeå Universitet			Utsjövatten	Övriga områden utanför Sverige	Del av Bottenvikens utsjövatten			01 - Bottenviken	HELCOM				SE719293-179824				NATL	Umeå Universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2015_UMSC	SHARK_Chlorophyll_2015_UMSC_version_2019-02-14.zip
Chlorophyll	Klar	Leverantör	2015	F9 / A13	A13	-	Havs- och vattenmyndigheten			1	c8482aabd202e49e123757a18e117c82	2015-01-15	08:05			64 42.50	22 04.00	64.70833	22.06667	GPS	125												2	0	10	Umeå Universitet		HOS	0.2		Chlorophyll-a	0.39	ug/l			FLM		HC-C-C2	Detektionsgräns 0.05mg/m3						Umeå Universitet			Utsjövatten	Övriga områden utanför Sverige	Del av Bottenvikens utsjövatten			01 - Bottenviken	HELCOM				SE719293-179824				NATL	Umeå Universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2015_UMSC	SHARK_Chlorophyll_2015_UMSC_version_2019-02-14.zip
Chlorophyll	Klar	Leverantör	2015	C3	C3	-	Havs- och vattenmyndigheten			1	51ad1b9e1f9f0edc2216a60ef01288a9	2015-01-13	13:00			62 39.18	18 57.13	62.65300	18.95217	GPS	196												1	0	10	Umeå Universitet		HOS	0.2		Chlorophyll-a	0.49	ug/l			FLM		HC-C-C2	Detektionsgräns 0.05mg/m3						Umeå Universitet			Utsjövatten	Övriga områden utanför Sverige	Del av Bottenhavets utsjövatten			03 - Bottenhavet	HELCOM				SE695299-166132				NATL	Umeå Universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2015_UMSC	SHARK_Chlorophyll_2015_UMSC_version_2019-02-14.zip
Chlorophyll	Klar	Leverantör	2015	C3	C3	-	Havs- och vattenmyndigheten			1	15eda33892e5bd65b966150139567d2e	2015-01-13	13:00			62 39.18	18 57.13	62.65300	18.95217	GPS	196												2	0	10	Umeå Universitet		HOS	0.2		Chlorophyll-a	0.52	ug/l			FLM		HC-C-C2	Detektionsgräns 0.05mg/m3						Umeå Universitet			Utsjövatten	Övriga områden utanför Sverige	Del av Bottenhavets utsjövatten			03 - Bottenhavet	HELCOM				SE695299-166132				NATL	Umeå Universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2015_UMSC	SHARK_Chlorophyll_2015_UMSC_version_2019-02-14.zip
Chlorophyll	Klar	Leverantör	2014	F9 / A13	A13	-	Havs- och vattenmyndigheten			25	38c70a0e16dd33d263d8898d72b71f4d	2014-12-02	19:15			64 42.53	22 04.08	64.70883	22.06800	GPS	120												1	0	10	Umeå Universitet		HOS	0.2		Chlorophyll-a	0.6	ug/l			FLM		HC-C-C2	Detektionsgräns 0,05mg/m3						Umeå Universitet			Utsjövatten	Övriga områden utanför Sverige	Del av Bottenvikens utsjövatten			01 - Bottenviken	HELCOM				SE719293-179824				NATL	Umeå Universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2014_UMSC	SHARK_Chlorophyll_2014_UMSC_version_2019-02-14.zip
Chlorophyll	Klar	Leverantör	2014	F9 / A13	A13	-	Havs- och vattenmyndigheten			25	e15fb2273a1bc7b7f77842f38e7cff7d	2014-12-02	19:15			64 42.53	22 04.08	64.70883	22.06800	GPS	120												2	0	10	Umeå Universitet		HOS	0.2		Chlorophyll-a	0.6	ug/l			FLM		HC-C-C2	Detektionsgräns 0,05mg/m3						Umeå Universitet			Utsjövatten	Övriga områden utanför Sverige	Del av Bottenvikens utsjövatten			01 - Bottenviken	HELCOM				SE719293-179824				NATL	Umeå Universitet	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_Chlorophyll_2014_UMSC	SHARK_Chlorophyll_2014_UMSC_version_2019-02-14.zip
